sentence,predicted,truth
"How does one know ANYTHING, Maureen?  One observes, and uses logic and reason and experience as guides, and does not resort to cynical and kneejerk assumptions while cowering in ignorant fear. 

I think it's safe to conclude that most criminals would rather not tip their hand before committing a crime in public, and would therefore conceal their gun rather than openly carry it for anyone to see.

An armed society is a polite society.  An unarmed society is a tyrannized society.",0,1
Leonard Pitts is a waste of oxygen.,0,1
It's dangerous for the pervert.  Ya folla?,0,1
Get a life will you Dick.,0,1
"""The representation of the penis as a weapon, cutting knife, dagger etc., is familiar to us from the anxiety dreams of abstinent women in particular and also lies at the root of numerous phobias in neurotic people."" ~Freud

Often paraphrased (and oversimplified, true) as:

""A fear of weapons is a sign of retarded sexual and emotional maturity.""",0,1
"First of all, great job WW in finding a seemingly endless source of naive guest writers to pen clickbait articles about Portland ""changing,"" which are guaranteed 50+ comments and endless cranky debate.  I look forward to the next in the series.  Maybe you can find a local landlord who will write about how great it is to own multiple rental properties now that rents are skyrocketing.

Second, I'm frankly embarrassed by the consistent bitterness and xenophobia of my hometown towards any new transplants.  I have lived in a number of other cities, and everywhere else people were friendly, welcoming, and wanted to know what you had to say and offer.  But not PDX!  The only other big city people as insufferably assholish as native Portlanders are Boston townies who will punch you if you grew up on the wrong block.  It's a completely small-minded, cringeworthy , bullshit attitude.  You aren't special by virtue of having been lucky enough to be born here.  Be the better people you claim to be.",0,1
"Here's what's really going on in Portland. Look at the racial demographics of Portland, then of California. Portland is mostly white whereas California has the largest minority population in the US. It should be obvious to everyone who knows Oregon's history that Portlanders don't want Californians coming in because Californians are sometimes not white, and Portlanders are racist. Yeah I said it.",0,1
"You are woefully incorrect.  Your freedom of speech allows you to spew inaccurate information.  It is the Firearm that protects your right to be ignorant.
A right is available and does not need to be exercised.  I would hope you would choose not to exercise your freedom of speech right until you actually learned what you were speaking about.",0,1
"Focus on the reason why they went Bankrupt, the DNR DOG and the AOGCC caused it by not approving a Unit at Kenai Loop Gas Field and AOGCC wrongfully taking all their money for CIRI for possible drainage of gas! No due process and the state agency takes your money and now they state wants a surety on a oil company, wow, Alaska keeps running oil companies out of Alaska 24/ 7 !

I don't think anyone likes bankruptcy but to make a provision in the law requiring oil companies to post a $250,000 surety bond to make sure unsecured creditors receive payment if a company goes bankrupt makes no sense and is clearly unfair, why not all companies not just oil companies, if the Bankruptcy court even allows it and they won't! 

This is what happens when the Legislature stays in session too long, things get crazy and stupid!",0,1
"It is pure Ignorance to vote just for having first woman president, in same way voted just to have first black president!",0,1
"Trumps pattern is obvious.  He seeks out the suckers who want to believe his sales pitches (""I'll build a really great wall."", ""I'll nominate a pro-life justice"", ""I'll ban all Muslims""...).  Clearly he attended the P. T. Barnum school of success.",0,1
"Governor, You didn't run to the fire you threw every single Alaskan citizen into this arson based fire, This Legislature knew what they were doing when they shoved SB21 down the throats of the gullible they knew , they expected the price of oil to collapse, You see that's the game slowly methodically take the money away from the lower and middle class and funnel it to the rich and powerful and when the til is dry force the lower and middle to pony up and sacrifice to refill the til and then start all over again, You just sold the people out :  (  I have been a fan of yours until today, Shame on you Governor, Shame on you !",0,1
"So why isn't mainstream Islam declaring war on radical Islam and working to stamp it out???  Where are the mainstream Islam troops, fighter jets, tanks and destroyers? 

Crooked Hillary and Barack Hussein Obama claim that mainstream Islam is all about peace and has nothing to do with terrorism.  If that's true, then they needn't worry about any peace loving mainstream Muslims going radical over anything  Donald Trump says or does.  Am I right?  Of course I'm right.

If mainstream Muslims do go radical over Trump and join up with ISIL, then that validates Donald Trump's argument that mainstream Muslims are a threat inside our country.

Viva Donald Trump.",0,1
"Nasty little piece by a person who represents the political party that created the biggest deficits in Alaska history.  It was Republicans who grew the spending unsustainably, year, after year.  It was Republicans who gave away our oil with SB-21.  It was Republicans that refused to diversify the Alaska economy.

So Walker comes into the mess created by Republicans.  What did Republican legislators do in the five months they wasted during the session?  They decided to not fix our broken oil tax structure.  But what they did do is decide to pay out almost $700 million in welfare to Big Oil, per year.  One of the biggest single expenditures in the state budget.

Now the money stolen from Alaskan families will be shipped out of state to Exxon, Conoco, and BP.

Great job.",0,1
Torture works.  Ask the CIA.,0,1
"I have no issue with your analysis of ""the media"", whatever media that is (I suspect it's media that tends to disagree with your assessment). But it is just a different issue. Tommy guns are virtually non-existent because government (The People) decided to do put a heavy tax on them after children were killed in 1930's gang warfare like Bonnie and Clyde.  There was no ""slippery slope"" leading to further bans, people can still buy all sorts of guns and bullets. 
I've seen Dr. Gina interview a promoter of the AK 47, saying it is just really a hunting rifle that can fire a clip of bullets because, heck, that bear may keep charging. And, since criminals could have this weapon, any home needs one to engage the assailant in a hail of bullets to protect their family. 
So sure, crazies use them. Stop the crazies. Unfortunately, if we start turning in crazies, any person who wants to get back at their neighbor who pissed them off can call the police and report them as crazy. 

I'm no buying it.",0,1
"Fished Slipper Lake this spring.  Never again, the place was trashed with litter and trashy people.  Got to wonder where they come from.  Expect most come from not too far away.",0,1
"Andree:  ""... tonto ...""?  A comment like that makes you sound like part of the problem.  Are you Klan?",0,1
"So, just because the dominant race declines to call us ""Natives/Indians"", then we're not?  Then how is it that you never hesitate to call us ""Natives/Indians"" where no dogs are allowed?  Make up your minds!",0,1
"What about the purchase of the Wells Fargo building? My guess is that it's a done deal, out of sight of the public. After all, to these clowns, what's another $12.5m?",0,1
drone man works for the government!!,0,1
"I would like to take Robin Brena's argument one step further and say that ""all the oil belongs to the state of Alaska"" and we should have an arrangement with the oil companies that recognizes our ownership by giving them a cut of 20% of all the oil they produce on ""our land"" while we keep 80% for ourselves. Instead, as Robin so deftly pointed out, the arrangement is exactly the opposite of what it should be; the oil companies are giving us a ""small cut"" of our oil and keeping the rest for themselves. It makes us look ""PRETTY STUPID"" and that stupidity is not lost on the oil companies. We are basically GUARANTEEING the oil companies survival while at the same GUARANTEEING our bankruptcy. Now that is REALLY STUPID!",0,1
Removed because it was critical ( in a civil kind of way I think) of the ADN for publishing Wapo conspiracy theories or because I said Trump is a buffoon but Hillary is a criminal? Bob disagrees with it so I must be on the right track.,0,1
"Shawn, do you think it may be due to the fact our ""public servants"" are not in that catagory now? Public servants, did not, expect full, better then our retirements, higher wages and associated, they did it for service at no pay expected. Now, they pad their pockets, think we are stupid and continue on. I do, for one, believe this next election cycle may, I hope, change it?",0,1
"We do have valid reasons for owning guns. It's called our 2nd Amendment right to bear arms. Nowhere in the Constitution does it say we need a ""valid"" reason to own a firearm. It also doesn't require a valid reason to protest, practice free speech or vote. People like you are scary. You think it's our governments right to dictate who can have a firearm, well, it is not. The 2nd amendment protects our right to bear arms to ensure our government never Denys us our freedom. Just because some idiot commits a crime doesn't mean all who own guns are somehow responsible.If you think all those other countries are so great then move, nobody is gonna stop you. Otherwise keep your hands of my rights.",0,1
"This is so ridiculous.  Back up and examine the retirement programs, including medical) for all public sector  (excluding federal) employees. I say ""all"" because whether they're state, borough, municipal, city, or whatever they all one way or the other come out of Alaskan's pockets.  Whether it's property tax, sales tax, or state funded, it's a burden born by Alaskans.  Also our state workforce ratio of state workers (including administration) per population is out of sync. 
What is our present and projected costs associated with these retirement programs?

Anybody brave and resourceful enough to find the numbers?

I'm not saying this is going to solve our problems with the deficits, however i bet it will be an eye opener.",0,1
"One other thing has changed.  Trump is now the presumptive republican nominee so is going to take the heat from the other parties for his oral diarrhea.

The message from Trump is that as long as they're a ""terrorist"", it's acceptable to kill them without the right of due process or to defend themselves from the charges.  And if it worked for Saddam, why wouldn't it work over here?",0,1
"Let's see what time reveals about the 3 men involved in this incident. 
Let the Press place blame and assumptions on only the white people.
Let's ignore all the black on black murders that happened over this 4th of July weekend in gun free Chicago.",0,1
"The muslims guiding book of beliefs & their ""constitution"" is the koran. Read it - dozens of passages urge all muslims to either convert or abuse & kill all who do not subscribe to it. Considering the words in the koran, I wonder how any reasonable person could call themselves a muslim. Clearly islam, is the enemy of every person in the world, including those who call themselves muslims.",0,1
"It's a big leap from being a war criminal (George Bush) to being hoodwinked (Hillary, Congress, and America) by the same war criminal. George Bush's actions caused the death of over 1 million human beings if you want to phrase it that way. Hillary drank the Kool-Aid  with the rest of the politicians for the most part who agreed to go to war  and the majority the American public was too stupid to see the that and stand up and say no. This time around we have another Republican candidate for President who also puts the Con in CONserative; do we want that clown to drag us into another never ending war...with, say North Korea?",0,1
"More environmental destruction. I can't understand why so many nasty, brain dead are bent on destroying natural beauty. It makes me sick!",0,1
"Donald (Yates)~
I would just like to say that I do respect you for keeping your vessel clean (as well as your dingy, dock and other watercraft) and your boat nice and tidy with no piles of garbage (or dog shit) like some that I see. I can imagine that it must be difficult to haul everything to your boat, and then haul all garbage from. I commend you on keeping an awesomely ""clear of debris"" boat.
Much luck to you my friend. I am quite jealous in many ways. Hold your head high! You have that right for sure, at least! ;-)",0,1
Last patriot - yes it DOES matter.  The black shooter said he wanted to shoot some white cops. Obama's outrage is missing here,0,1
"it is an accident, and it was his fault. it goes to an old saying always be aware of your surroundings. you can pretty him up like trevon all you want but that doesn't and shouldn't matter. Trevon was a thug, and you turned him into a martyr for something he clearly did not give a rats a$$ about. blacklivesmatter? to who? who does blacklivesmatter represent? hard working blacks? black hacks? black pimps? black thugs? black killers? black thieves? black crack heads? sounds like trump was right and all lives matter... in 100 years what will blacklivesmatter have gained you? more segregation more special treatment? more white resentment? what will it give you?",0,1
"No, you are completely wrong here in your analysis.   The real reason why Johnson went nuts and wanted to kill was due to the stress he suffered while serving in George W Bush's never ending war in Afghanistan.   It is doubtful he would have gone insane if he had never been sent to that hell hole.

Just look at what serving in Afghanistan did to local US Army veteran Brian Babb right here in Eugene.   It caused him to have a mental breakdown too.

We have countless thousands of veterans who have come home from the insane never-ending wars in Iraq and Afghanistan, who are now ticking time-bombs in our communities all across our nation.  All that happened last night is that one of them exploded.

No, the murderer of the Dallas Police Officers is not Micah Johnson.   The killer's real name is George W Bush.",0,1
"Exactly, Bell, but than again the woman and her boyfriend live in Texas.  Texas is supposed to be an open  carry state, but apparently not for brown or black skin people.  There in lies the problem.",0,1
"""To do something stupid and blow the partnership apart would be a tragic mistake.""  Yea, verily.  I came to Alaska to survey on the oil pipeline, fell in love with Alaska, and stayed.  I like pipelines as much as the next guy.  But I really hate seeing ego-centric buffoons waste good money on ill-considered projects, especially our money.  We'll get one chance to do the gas line properly.  Considering the state's  amateur forays into the adult world of business in the past (Dreaming big: 6 Alaska boondoggles - http://www.adn.com/features/article/dreaming-big-6-alaska-boondoggles/2011/10/10/?page=0,5), we should be very careful indeed, and wait for the majors - the real adults, not tough guy pretenders - to invest their own money.",0,1
Wrong Wavemaker. The NRA have supported the instant background checks. They have not supported knee jerk actions to extend background checks to private gun sales between private individuals. They have also not supported background checks at gun shows between private owners as well.,0,1
"What are you, Travis?  A pervert that goes around trying to look into people's pants?",0,1
"I'm commenting directly on the letter... hard to know how I could be much more ""on topic"" than that!

Is this the topic: ""But let a white cop shoot a black criminal, and all hell is to pay."" OK, is the letter writer calling Mr. Castile the schoolworker a ""black criminal"" because he has multiple tickets for speeding and driving without insurance? I think that is a purposeful mischaracterization of someone who seems like a decent guy.

Or this, ""One thing is sure, however: White people aren’t going to go around shooting blacks because of it."" That seems like a naive statement given the history of violence against blacks. One can hope, but ""sure""? I'm not sure. 

Are the attacks racially motivated? Of course.",0,1
"been  a few years since a OCF experience.  in the 70's it was joining with my people in the promised land, the 80's was gentrified but with a back beat , the 90's were  ""excuse me, but i think your elbow is in my get fried rice"" and cough ""lot of people here..."", 2000's were  holing up out of the crowd behind friend's booth..fully equipped with lazy boys, coolers, music,  grill, 2010+ .... ""HOW many grandkids want to go?"".  ""naahhh , i already have a headache...hey, put your bra back on!"". ""sit down! be quiet! and put that *** ******  drum away!""  ahhh - easing into my golden years...but love the OCF.",0,1
"By other black men Arlene....  
Convenient you left that statistic out.",0,1
And of course to think like Bill and Jeff one must surely be a hater a racist and a anti- government republican.....,0,1
The biggest racist in America has been sitting in the Whitehouse for the last 7&1/2 yrs.,0,1
"Black Americans, and there are some great ones everywhere! But we all know who the
bad ones are, like in all ethnic groups. African Americans are  13-15% of Americas population, and commit 70% of the crimes in America. And that's a fact jack....look it
up!!! I look @ the mug shots every day in Orlando of everyone arrested the following evening....average 70% black, 20% Hispanic...10% white... everyday, day in & day out
and that is a Fact 24/7 365",0,1
"That's about the best description of Trump I've seen yet, a narcissist with an ego so big that he truly is not capable of keeping his mouth shut.",0,1
Nothing like a nap after stabbing your father...,0,1
"Mr. Sinnott.  Thank you for this illuminating article.   

Folks, with those track-records, should not be involved in wildlife management decisions.  

If I've learned one thing from years of hunting and hiking:  Alaska needs MORE of the so-called ""overzealous enforcement"" of fishing and hunting regulations...not less.  

The irreverence, a growing number of ""sportsmen"" show for our flora a fauna,  is nothing short of disgusting.",0,1
"The Democrats tried in 1999 to do the same thing... proving political stupidity is a contagious mental disorder no matter who is governor--Democrat, Republican, Independent etc.

At least the Democrats had the testicles to put the issue before the voters.  Contrasted to capon Gov. Walker who is trying to force it through the legislature without a vote of the people.

The Govs see PF earnings as a ""pot of gold"" are stricken with ""gold fever"" along with the rest of the interest groups funded by the $2 million donation from the Rasmuson Foundation.

Google    Jay Hammond ""Diapering The Devil""  look for the file starting CH2

Google Rasmuson Foundation donation list look for the PDF file which lists the $2 million donation and what they are spending their money on.",0,1
"Other than federal tax, if you work, identify what other taxes you pay that go to the needy, Black.",0,1
"Trump is the biggest liar of ALL time. 

A fact checker looked into 158 things Donald Trump said. 78 percent were false. Of the 158 Trump claims that PolitiFact has checked out, 95 have been rated either ""False"" or ""Pants on Fire."" That's 60 percent of all Trump claims. As PolitiFact notes, if you include the Trump statements rated ""mostly false"" in that group, 78 percent of all of Trump's fact-checked claims have been scored ""mostly false"" or worse.

https://www.washingtonpost.com/news/the-fix/wp/2016/07/01/donald-trump-has-been-wrong-way-more-often-than-all-the-other-2016-candidates-combined/",0,1
"Dean Dubanoski rightly extols the importance of a liberal arts education.  It helps individual students broaden their understanding of our history and the core values of our society.  At least, that's what it's supposed to do.  Unfortunately the social studies departments at UH Manoa are little more than propaganda factories brainwashing students with specific viewpoints that are far to the left politically and philosophically.  UH rightfully prides itself on its diversity of races and cultures among students and faculty.  But it has a terrible lack of diversity in viewpoints presented to the students on topics such as the history of Hawaii and whether we should be proud to be Americans.  A forum on a controversial topic should feature several professors with strongly differing views engaging in robust debate.  But at UH all you get is 3 or 4 professors who all agree and merely divide up their presentations into different aspects of the same absurdly leftwing viewpoint.  Ridiculous!",0,1
We do know that the number of African American males that kill police officers and other citizen more often than any other group.,0,1
This crowd funding is getting ridiculous.  These kinds of things are a mockery.  Grow up & fight your own battles kid.,0,1
"Why can't cops kill people that deserve it? When was the last time a child abuser, a pedophile or rapist was shot????? APD - helpful hint - don't get so close that someone could actually hit you with an ax .... Just saying. Now everyone of us tax payers gets the privilege of paying for all of those ""life saving measures"" - love paying for criminals and their medical bills!!",0,1
"Of course businesses will try to pass the cost off to consumers. That's understood. But since the tax applies only to large companies, and since many of them have national pricing strategies, they can go only so far with this without creating worse difficulties for themselves. Oregon is small potatoes. The strategy here is an excellent one. Even if the corporations managed to pass on 2/3 of the tax, we would still be getting 3 billion dollars in additional revenue for a consumption tax of 2 billion. I'll take that. The structure of this tax is rational and productive. An important question is whether we are going to go on tolerating the erratic and wasteful tax structure we have now, where programs and departments ands agencies are slashed and then re-funded in ways that are wasteful and inefficient and lead to poor performance because revenues are so irregular. It's wasteful and stupid. We need stability. This is the best proposal for stability that I've seen in my 30 years here.",0,1
"Oh come on and get off the black, white, blue lives matter merry-go-round.  Every human life matters.  Period.  We don't need bigotry and racism poking its ugly head up every time a police officer or an ethnic or white citizen is shot and killed.  Stop fueling the race game.  If you don't have anything constructive toward the healing of our nation, then keep your cotton picking mouth shut.  Go away.  We don't need to hear from you.",0,1
"Sorry, no conflict of interest. I don't know Steve Mokrohisky at all, though it appears that the changes he's made in his two-plus years with the county have been positive as well as good for the bottom line. Perhaps you see it differently. Retaining good people can be expensive, so all I can surmise from your comments is that the county can do without a strong financial administrator who knows how to save the taxpayers money. I disagree.

Envy isn't a good color on you, pilot. And next time, don't guess about what's obvious. Makes you look foolish.",0,1
"Your insult is all you have. Your inner-dick erupts again.
No concept of Alaska history pre-oil is immediately evident.
""Koncerned""....what a misnomer you have chosen with which to insult lifelong Alaskans. Thanks, Richard Cranium. Yer a real prince.",0,1
"There is no question that Mike Arnold is a sleazy ambulance-chaser who shares the same anti-government ideology as the Bundy boys.

Ethics are not the issue. He should be disbarred, tarred and feathered.",0,1
"No, he would have been shot in that barn anyway.",0,1
"Walker is just throwing money away on his pipe dream hiring his buddies, meanwhile he's stealing the PFD from every Alaskan without remorse. He's a real piece of work!",0,1
"???????  It is obviously time to end this discussion, as you are making no sense whatsoever now and are merely engaging in crude, ridiculous, emotional, personal attacks that are completely devoid of reason and substance.  That's too bad, because this is a serious issue.  I suggest you abstain from coffee from now on, and switch to tranquilizers.",0,1
"Micah Johnson, who is seen on video killing a cop, joined Facebook groups that referenced the Black Panther Party, the LA Times reported, including one called the Huey P. Newton Gun Club, named after one of the Black Panthers’ founders. Johnson liked pages relating to Elijah Mohammed, the Nation of Islam’s deceased founder. This is a militant black Muslim group. Johnson also liked the Black Riders Liberation Party, which describes itself as a “new generation” of Black Panthers. This is the face of the future inbred terrorists in America.

Here he is killing a cop ‘execution style’:

http://freedomoutpost.com/police-killings-in-dallas-were-carried-out-by-homegrown-terrorist-group-allied-with-muslim-groups/",0,1
Into a garbage bag or sack?,0,1
"Taking Billions of Dollars out of the CBR to keep the lights on we lose $166,000,000 in future investment income. Because the GOP super majority cannot, will not for re-election purposes, come up with a plan to fix the fiscal mess the state goes further and further into deficit spending mode. Contrary to what Mr. Herz says in his otherwise stellar reporting  on Juneau it is the subsidies of $600,000,000 to the oil industry that effects the states budget as much as a restructuring of the PFD would do. I'm  in favor of seeing the PFD restructured but not until SB21 is revised, the ""new oil"" clause is struck and the subsidies  permanently repealed. The Governor presented a balanced plan of revenue increases and substantial spending cuts that were ignored by the legislature. As for Chenault and Meyer saying the lege is at an impasse therefore nothing can be done until the next regular session I call BS. What will be different in Jan. versus now? Just do the damn job you were elected to do.",0,1
By now you must know that restructuring the PFD was just one component of the balanced set of proposals presented to the legislature by Governor Walker back in January. Taking the PFD restructuring in isolation is a cheap ploy by the GOP supermajority to disguise the fact that they refused to consider and vote on the entirety of the plan. The GOP controlled Senate voted to do the PFD restructuring while refusing to consider the repeal of an equal amount in subsidies to the oil industry proposed by the Governor. The legislature refused to do the one job it is constitutionally mandated to do out of cowardice. The governor put forth a complete plan at great political cost. Refusing to even hold votes on the budget ideas set forth by the Governor then setting up this misleading propaganda campaign suggesting that Walker is stealing half your dividend is such a transparent lack of taking personal responsibility for not doing the damn job you were elected to do. And you are falling for it.,0,1
"And now, with a handy list, people can attack, force and prey upon the predators.",0,1
"He is a BAD man! I hope he stays locked up, he is a wife beater and abuser.",0,1
"So people who are making minimum wage or slightly above it in retail jobs is good for the overall economy how? They aren't paid a livable wage, not even close.

I would hope healthcare would be doing good, with the insane amounts the majority charge how could they not be making a killing.

As a small business owner with 22 employees I save money by buying employees, and their families when needed airline tickets and going to out of state doctors. This isn't some stupid Obama issue, sine he implemented the healthcare republicans wanted years before, this is a healthcare industry issue. We either need single payer, or a actual free market system of healthcare. We have a total abortion of both right now.

The state of Alaska needs jobs that pay a living wage, those are the jobs that are disappearing. Not a single politician has proposed any cuts to the bloated administrative departments, but yet want to tax people? Screw that, I won't be voting for a single incumbent on any level.",0,1
"""He has an unnatural sexual desire for children, there is no cure, it’s like an addict is always an addict thereafter.""

Since you bring up the word ""cure"", that indicates that you believe he is 'sick' in some way and can't be cured.  But then you endorse beating him with a hammer.  Glad I'm not a patient at your hospital.",0,1
"TODAY is the last day to register to vote for the August primaries. As you can see, we really need to clean house and get these worthless bums out of office. Go to my.alaska.gov and register. Do it before midnight today. You can't put it off any longer. Let's show them where the unemployment line is. I love Alaska and it is time for all of us to show what it means to be able to live in such a wonderful place. Please vote. I don't care who you vote for, JUST VOTE.",0,1
"We have a clear choice this election. The law and order candidate...
Or the black lives matter candidate.
Pick one.",0,1
"Ahhahahahahahahahaha!!!! Sit down loooossssser! 

Mr. Trump is the exact face of the republican party. Don't be mad bro because he says out in public what you think behind closed doors.",0,1
"Organize like the LGBTs did!? Are you serious? That's your best example? How about organized groups like Republicans for Trump, the KKK, Westboro Baptist Church and Anchorage Baptist Temple? Those groups are the ones I fear because they're hate-driven, not gay people.",0,1
Let's hope Republicans defy the law and bring weapons into the Republican National Convention. I can think of no better place for there to be a plethora of weapons than in a large crowd of rabid white supremacists.,0,1
"Feckin' I.D.I.O.T. humans.
Can't we just stick to gratuitously murdering ourselves and others of our species?
No, apparently not. We're so good at it.
No wonder we're on our way out.
A big difference between hunting for food legally and this senseless herd behavior.
Certain characteristics of a mob going to a lynching. I hope the kiddies got a good view!
Very educational.",0,1
"Frank, if you take away people's guns then murderers will use ""TRUCKS"" to kill others.......OH WAIT, somebody already killed 83 people with a ""TRUCK"" just last week! Should we also ""thank the NRA"" for all the people who own a ""TRUCK."" Maybe the real problem is people named ""FRANK.""",0,1
"I feel confident that your ""paraphrase"" of Arthur Ashe's words is a very poor one and the message you were trying to convey by it is clear from your post. You wrote, ""Let me quote Arthur Ashe from his last book “Days of Grace”, he stated “If Blacks would act Human there would not be a problem” (paraphrase)."" Your paraphrase clearly implies that if African-Americans would just behave correctly (act Human) they wouldn't be treated like non-humans. The problem is that several hundred years of history fail to provide any evidence for your claim. What is more, you very wrongly made a claim about persons who are my flesh and blood and I consider your words justification for violence against people whose skin is black and whose ancestry is African-American. You keep your racist filth off my family.",0,1
sex=exchange of body fluids. caring for a sick person with zika=body fluids.,0,1
What a race baiting sickening article.,0,1
"The values were't plagiarized, the WORDS were. How hard is that to understand? Why are Trump supporters so unwilling to recognize him as a con man?",0,1
"Wow, this article is demeaning, insulting, and in incredibly bad taste. Won't be reading WW again until you write a similar ""funny"" article about a Christian event.",0,1
"Families are having to move their loved ones and go through this trauma again all because this selfish man wants to make money. It's disgusting. More on this will come out, just wait and see.",0,1
"He's the diarrhea to his vomitus.  
https://www.washingtonpost.com/news/to-your-health/wp/2016/07/19/norovirus-strikes-the-republican-national-convention/",0,1
Depressed? Take a look at your letters regarding Sandy Hook (never happened). Ugly they are for the children who were the victims are astounded you'd make such a vile and disgusting claim that it was all made up.,0,1
Are you suggesting she deserves to die?,0,1
"Another dishonest write ups and appraisals of liberalism and progressivism. Tarr is quick to say ""I have value's, that's why I vote like I do"" while at the same time saying 'They are controlled by oil the dirty bastages, that's why they vote like they do"".  

The typical progressive is incapable of believing (or pretends to be) that anyone can have a different opinion. This viewpoint is morally dishonest at its base and a large part of the divide we see growing every day.

Your article was is self serving tripe with no honest value at all.",0,1
"NUTS and afraid if their own shadow are typical arguments for fools who have no argument. Hold the police accountable for what?  A cop car travels at 90 miles and hour and is 10 miles away. A bullet travels as 1000 feet per second and is 20 feet away. Is it your intent to hold the police responsible for not getting there in time?

Your argument is a bumper sticker that has zero thought put into it. Your anecdotal evidence of where you lived once has some value, but not detail so all it offers is your opinion. Asia has been ravaged by dictators again and again so clearly you are not talking about some places I know of.",0,1
"Funny.  But MikeinAK26 is basically right.  Flood your society with guns, and killing is the inevitable result.",0,1
"You're nuts. You would have an interim from outside come and make broad sweeping changes? Would lawyers want someone from outside their practice and no JD come and make sweeping changes? Billing hours, that sort of thing?",0,1
Wow. Another mass shooting in a country with very strict gun laws. The only reason things have worked in the UK and Australia is because they are island nations and can far more easily limit immigration and weed out the terrorists.,0,1
"Can't wait to find out this is the act of the ""JV Team"" - The Death Cult known as Islam.",0,1
"Proud queers are the voters of the day, eh?",0,1
"Well, I think if I ever lose my job I'll just go out and commit a bunch of petty crimes, then insult the arresting officer's mother until he works me over something awful and then retire.",0,1
"Good closing sentence Paul.  Yes, everyone knows the answers regarding Walker's fantasy gas line obcession.  Walker must know the answers too.  But for him to forge ahead wasting millions in state money on his narcissistic endeavor is obscenely corrupt.  He should be recalled because he not spending any time doing what he was elected to do - to be a governor.  Instead, he is playing as a nonsensical gas line baron.",0,1
"Another week another ignorant letter by Shannyn.

Is she even capable of writing an article that isn't taking the talking points of the hate-filled, racist, totalitarian miss-named Democratic Party and claiming them as her own.

She also missed the part that apparently Hillary took 20K in campaign donations from the Klu-Klux Clan and it's members.

Trump told David Duke and his followers to take a hike.",0,1
"Because of professional reversers like Shanny who take normal America and try to turn it around with sordid spin to make evil leftism look good, We have but one word.  
Trump!  60 years of progressive kombiya, I'd like to teach the world to sing in perfect harmony, Drugs, Sex and demented music, peace brother  and the rest of the lame rhetoric has given us the violent, narcissistic, selfish, mentally ill, culture we now reside in.",0,1
